# Экспорт таблицы привязки Weintek (MODBUS Server ↔ Mitsubishi FX2N), UTF-8
# Источник: EasyBuilder Pro → MODBUS Server → Таблица привязки адресов
# Колонки упрощены для репозитория; полный экспорт — из EB Pro (Импорт/Экспорт).
Comment,Modbus_4x_or_1x,PLC_Address,TableSize,RW
Давление №1 (до фильтра),4x-9240,D-60,1,read
Давление №2 (после фильтра),4x-9242,D-62,1,read
Давление №3 (до мембран),4x-9246,D-64,1,read
Давление №4 (после мембран),4x-9248,D-66,1,read
Температура,4x-9260,D-140,1,read
Проток №1,4x-9252,D-530,1,read
Проток №2,4x-9254,D-532,1,read
Проток №3 (исходная вода),4x-9256,D-534,1,read
Проводимость,4x-9258,D-90,1,read
Дискрет (маппинг шлюза),1x-100,M-19,1,read
